,,,,,League,W,L,win %,Units,Total Plays,ROI,,,,,,,,,
X: @cappers_intel,,,,,MLB,284,206,58.0%,32.64,490 ,3.0%,,,,,,,,,
,,,,,NBA,224,146,60.5%,48.57,370 ,6.3%,,,,,,,,,
,,,,,SOCCER,33,11,75.0%,29.54,44 ,32.1%,,,,,,,,,
,,,,,NCAAB,36,17,67.9%,19.85,53 ,18.6%,,,,,,,,,
,,,,,NHL,3,3,50.0%,-2.67,6 ,,,,,,,,,,
,,,,,NCAAF,8,8,50.0%,-3.49,16 ,-10.9%,,,,,,,,,
,,,,,NFL,22,19,53.7%,-5.15,41 ,-6.3%,,,,,,,,,
,,,,,Overall,610,410,59.84%,119.29,1020 ,5.69%,,,,,,,,,
,,,,,Wagered Units,W,L,win %,Units,Total Plays,ROI,,,,,,,,,
,,,,,2U,544,364,59.9%,99.78,908 ,5.5%,,,,,,,,,
,,,,,3U,56,42,57.1%,3.20,98 ,1.1%,,,,,,,,,
,,,,,4U,4,2,66.7%,3.76,6 ,,,,,,,,,,
,,,,,5U,7,1,87.5%,19.60,8 ,,,,,,,,,,
,,,,,Overall,611,409,59.84%,126.34,1020 ,59.84%,,,,,,,,,
,,,,,Type,W,L,win %,Units,Total Plays,ROI,,,,,,,,,
,,,,,DOG SPREAD,175,110,61.4%,49.43,285 ,8.4%,,2,3,,,,,,
,,,,,FAV SPREAD,73,46,61.3%,22.52,119 ,9.0%,,,,,,,,,
,,,,,DOG ML,54,42,56.3%,14.01,96 ,6.7%,,,,,,,,,
,,,,,3-WAY ML,13,3,81.3%,16.61,16 ,,,,,,,,,,
,,,,,BTTS,10,3,76.9%,7.68,13 ,,,,,,,,,,
,,,,,FAV ML,249,183,57.6%,-3.12,432 ,-0.3%,,,,,,,,,
,,,,,UNDER,1,0,100.0%,1.60,1 ,80.0%,,,,,,,,,
,,,,,OVER,15,12,55.6%,-3.08,27 ,-5.2%,,,,,,,,,
,,,,,Overall,590,399,59.66%,105.65,989 ,,,,,,,,,,
,,,,,Month,W,L,win %,Units,Total Plays,ROI,,,,,,,,,
,,,,,January,53,32,62.4%,18.90,85 ,10.7%,,,,,,,,,
,,,,,February,59,26,69.4%,36.73,85 ,20.6%,,,,,,,,,
,,,,,March,64,43,59.8%,6.34,107 ,2.8%,,,,,,,,,
,,,,,April,62,42,59.6%,4.35,104 ,1.8%,,,,,,,,,
,,,,,May,45,33,57.7%,3.83,78 ,2.2%,,,,,,,,,
,,,,,June,41,27,60.3%,12.49,68 ,7.0%,,,,,,,,,
,,,,,July,39,27,59.1%,10.79,66 ,7.8%,,,,,,,,,
,,,,,August,44,37,54.3%,-9.15,81 ,-5.6%,,,,,,,,,
,,,,,September,59,40,59.6%,15.05,99 ,7.5%,,,,,,,,,
,,,,,October,58,38,60.4%,17.65,96 ,9.2%,,,,,,,,,
,,,,,November,46,35,56.8%,1.18,81 ,0.7%,,,,,,,,,
,,,,,December,41,30,57.7%,5.69,71 ,3.9%,,,,,,,,,
,,,,,Overall,611,410,59.84%,123.84,1021 ,,,,,,,,,,
,,,,,Day,W,L,win %,Units,Total Plays,ROI,,,,,,,,,
