,,,,,Type,W,L,Win %,Units,Total Plays,ROI,,,,,,
,,,,,FAV/HOME,603,634,48.7%,-85.27,1237 ,-6.9%,245,271,47.5%,-1.3%,,
,,,,,FAV/AWAY,425,429,49.8%,-42.25,854 ,-4.9%,186,191,49.3%,-0.4%,,
,,,,,FAV/FG,123,145,45.9%,-33.07,268 ,-12.3%,58,59,49.6%,3.7%,,
,,,,,FAV/LG,141,132,51.6%,-3.69,273 ,-1.4%,64,56,53.3%,1.7%,,
,,,,,<210,16,23,41.0%,-8.44,39 ,-21.6%,2,2,50.0%,9.0%,,
,,,,,210-219.5,147,142,50.9%,-8.23,289 ,-2.8%,30,34,46.9%,-4.0%,,
,,,,,220-229.5,388,432,47.3%,-78.92,820 ,-9.6%,159,175,47.6%,0.3%,,
,,,,,230-239.5,386,370,51.1%,-18.74,756 ,-2.5%,199,187,51.6%,0.5%,,
,,,,,>=240,91,96,48.7%,-13.19,187 ,-7.1%,41,64,39.0%,-9.6%,,
,,,,,ODDS 1.95-2.49,294,334,46.8%,-66.46,628 ,-10.6%,133,166,44.5%,-2.3%,,
,,,,,ODDS 2.5-2.99,200,210,48.8%,-28.00,410 ,-6.8%,87,88,49.7%,0.9%,,
,,,,,ODDS 3-3.99,212,220,49.1%,-27.08,432 ,-6.3%,89,89,50.0%,0.9%,,
,,,,,ODDS 4-5,141,143,49.6%,-14.69,284 ,-5.2%,57,61,48.3%,-1.3%,,
,,,,,ODDS 5+,181,156,53.7%,8.71,337 ,2.6%,65,58,52.8%,-0.9%,,
,,,,,Overall,2320,2403,49.12%,-291.80,4723 ,,,,,,,
,,,,,Month,W,L,Win %,Units,Total Plays,ROI,,,,,,
,,,,,October,59,89,39.9%,-35.31,148 ,-23.9%,,,,,,
,,,,,November,217,211,50.7%,-13.53,428 ,-3.2%,,,,,,
,,,,,December,176,207,46.0%,-46.84,383 ,-12.2%,,,,,,
,,,,,January,223,227,49.6%,-24.07,450 ,-5.3%,,,,,,
,,,,,February,164,171,49.0%,-21.76,335 ,-6.5%,,,,,,
,,,,,March,126,116,52.1%,-1.34,242 ,-0.6%,,,,,,
,,,,,April,63,42,60.0%,15.33,105 ,14.6%,,,,,,
,,,,,Overall,1028,1063,49.16%,-127.52,2091 ,,,,,,,
,,,,,Day,W,L,Win %,Units,Total Plays,ROI,,,,,,
,,,,,Monday,147,167,46.8%,-33.23,314 ,-10.6%,59,73,44.7%,-2.1%,,
,,,,,Tuesday,128,100,56.1%,16.48,228 ,7.2%,60,43,58.3%,2.1%,,
,,,,,Wednesday,168,183,47.9%,-30.12,351 ,-8.6%,66,77,46.2%,-1.7%,,
,,,,,Thursday,126,117,51.9%,-2.34,243 ,-1.0%,57,47,54.8%,3.0%,,
,,,,,Friday,187,173,51.9%,-2.83,360 ,-0.8%,72,82,46.8%,-5.2%,,
,,,,,Saturday,122,161,43.1%,-49.98,283 ,-17.7%,54,66,45.0%,1.9%,,
,,,,,Sunday,150,162,48.1%,-25.50,312 ,-8.2%,63,74,46.0%,-2.1%,,
,,,,,Overall,1028,1063,49.16%,-127.52,2091 ,-6.10%,,,,,,
NBA FAV SPREADS,,,SINCE '24-25,,,,,,,,,,,,,,
 1 U = 5% = $500,,Time period,Total plays,Wins,Losses,WinRate,Avg odds,ROI ,UNIT profit,NET profit $,Profit %,,,,,,
,,This season,896,433,463,48.33%,1.91,-7.70%,-68.97,"-34,485.00",-344.85%,,,,,,
,,ALL-TIME,2091,1028,1063,49.16%,1.91,-6.10%,-127.52,"-63,760.00",-637.60%,Data for the graph,,,,,
HOME/AWAY,MONTH,O/U #,League,FG / LG,Wagered Units,Bet type,Odds,W/L,Return,DOG Odds,Day of week,#,Profit dynamics,,,,
,,,,,,,,,,,,0,0.00,SPR,,,Total
HOME,October,221.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,3.10,Tuesday,1,0.91,✅,lose,-1.00,OV
AWAY,October,223.5,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,1.95,Tuesday,2,-0.09,❌,win,0.95,UN
AWAY,October,235,NBA,FG,1.00,SPREAD,1.91,win,0.91,2.80,Wednesday,3,0.82,✅,lose,-1.00,UN
HOME,October,223,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.25,Wednesday,4,-0.18,❌,lose,-1.00,OV
HOME,October,208,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.10,Wednesday,5,-1.18,❌,win,1.1,OV
AWAY,October,222.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.50,Wednesday,6,-0.27,✅,lose,-1.00,OV
AWAY,October,225,NBA,,1.00,SPREAD,1.91,win,0.91,3.05,Wednesday,7,0.64,✅,lose,-1.00,OV
HOME,October,230,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.65,Wednesday,8,-0.36,❌,win,2.65,UN
HOME,October,225.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.65,Wednesday,9,0.55,✅,lose,-1.00,OV
AWAY,October,229.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.15,Wednesday,10,-0.45,❌,lose,-1.00,OV
AWAY,October,224.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.60,Wednesday,11,-1.45,❌,lose,-1.00,OV
AWAY,October,221.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,3.25,Wednesday,12,-0.54,✅,lose,-1.00,OV
AWAY,October,231,NBA,FG,1.00,SPREAD,1.91,win,0.91,8.00,Thursday,13,0.37,✅,lose,-1.00,UN
HOME,October,227,NBA,,1.00,SPREAD,1.91,win,0.91,3.90,Thursday,14,1.28,✅,lose,-1.00,OV
HOME,October,228.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.10,Thursday,15,0.28,❌,win,1.1,UN
AWAY,October,222,NBA,LG,1.00,SPREAD,1.91,win,0.91,1.95,Thursday,16,1.19,✅,lose,-1.00,OV
HOME,October,214,NBA,FG,1.00,SPREAD,1.91,win,0.91,5.50,Friday,17,2.10,✅,lose,-1.00,OV
AWAY,October,220,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.75,Friday,18,1.10,❌,win,1.75,OV
HOME,October,226.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.85,Friday,19,0.10,❌,lose,-1.00,OV
HOME,October,224.5,NBA,,1.00,SPREAD,1.91,win,0.91,5.25,Friday,20,1.01,✅,lose,-1.00,UN
HOME,October,229,NBA,,1.00,SPREAD,1.91,win,0.91,2.60,Friday,21,1.92,✅,lose,-1.00,UN
HOME,October,226,NBA,,1.00,SPREAD,1.91,win,0.91,2.45,Friday,22,2.83,✅,lose,-1.00,OV
HOME,October,235,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.25,Friday,23,1.83,❌,win,3.25,OV
AWAY,October,234.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.10,Friday,24,2.74,✅,lose,-1.00,UN
HOME,October,227.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.00,Friday,25,3.65,✅,lose,-1.00,OV
HOME,October,219.5,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,3.00,Friday,26,2.65,❌,lose,-1.00,UN
HOME,October,218.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,3.60,Saturday,27,1.65,❌,win,2.6,UN
AWAY,October,224.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.95,Saturday,28,2.56,✅,lose,-1.00,UN
